
NomePersonaggio | Modello | Hash | Descrizione | Fazione | PowerType
Silversurfer | s_m_y_shop_mask | 0x6E122C06 | Sales Assistant (Mask Stall) | Neutral | silversurfer
Stan_Lee_Nuff_Said | g_m_y_salvagoon_03 | 0x70C720B0 | Salvadoran Goon 3 | Neutral | stanlee
JokerThug1 | a_m_y_vinewood_02 | 0x5D15BD00 | Vinewood Male 2 | Villain | thug
Joker(BAK) | a_m_y_indian_01 | 0x2A22FBCE | Indian Young Male | Villain | joker
Cap_Infinitywar | s_m_y_valet_01 | 0x3B96F23E | Valet | Hero | captain
bakjoker | g_m_y_pologoon_02 | 0xA2E86156 | Polynesian Goon 2 | Villain | joker
SabretoothV | s_m_y_construct_02 | 0xC5FEFADE | Construction Worker 2 | Villain | sabretooth
Dardevil(netflix)darkerred | a_f_y_business_01 | 0x2799EFD8 | Business Young Female | Hero | daredevil
Nightwing | g_m_y_ballaeast_01 | 0xF42EE883 | Ballas East Male | Hero | nightwing
BBogV | s_m_y_dwservice_01 | 0x75D30A91 | DW Airport Worker | Villain | blackmask
Kingpin(prison) | s_m_y_blackops_02 | 0x7A05FA59 | Black Ops Soldier 2 | Villain | kingpin
CaptainAmerica_civilwar | a_m_y_acult_02 | 0x80E59F2E | Altruist Cult Young Male 2 | Hero | captain
Hulk(AgeOfUltron) | a_m_y_cyclist_01 | 0xFDC653C7 | Cyclist Male | Hero | hulk
WinterSoldier(MCU) | a_f_y_eastsa_02 | 0x0438A4AE | East SA Young Female 2 | Neutral | wintersoldier
DoctorDoom | a_f_y_business_04 | 0xB7C61032 | Business Young Female 4 | Villain | doom
JIGSAW | s_m_y_clubbar_01 | 0x4D73A43F | Club Bartender | Villain | jigsaw
ThorAE_final | g_m_y_korean_02 | 0x8FEDD989 | Korean Young Male 2 | Hero | thor
blackmask | a_m_y_soucent_03 | 0xC3F0F764 | South Central Young Male 3 | Villain | blackmask
UltimateNickFury | s_m_y_cop_01 | 0x5E3DA4A4 | Cop Male | Hero | nickfury
Black_Adam | a_m_y_vindouche_01 | 0xC19377E7 | Vinewood Douche | Villain | blackadam
Moon Knight | s_m_y_baywatch_01 | 0x0B4A6862 | Baywatch Male | Hero | moonknight
CrossBonesV | g_m_y_lost_01 | 0x4F46D607 | The Lost MC Male | Villain | crossbones
DeadpoolMovie | a_f_y_fitness_02 | 0x13C4818C | Fitness Female 2 | Neutral | deadpool
Namor | g_m_y_strpunk_02 | 0x0DA1EAC6 | Street Punk 2 | Villain | namor
Tony Stark | a_m_y_gay_02 | 0xA5720781 | Gay Male 2 | Hero | ironman
STR_PBTarantula | s_m_y_winclean_01 | 0x550D8D9D | Window Cleaner | Villain | tarantula
WinterSoldier(MCU)V2 | s_m_y_uscg_01 | 0xCA0050E9 | US Coastguard | Neutral | wintersoldier
wolverine | a_f_y_business_03 | 0xAE86FDB4 | Business Young Female 3 | Hero | wolverine
mysterio | a_f_y_scdressy_01 | 0xDB5EC400 | Dressy Female | Villain | mysterio
antman | a_f_y_topless_01 | 0x9CF26183 | Topless | Hero | antman
MK46 | a_m_y_hippy_01 | 0x7D03E617 | Hippie Male | Hero | ironman
GreenGoblin | a_m_y_roadcyc_01 | 0xF561A4C6 | Road Cyclist | Villain | greengoblin
KILLERCROC | a_m_y_genstreet_02 | 0x3521A8D2 | General Street Young Male 2 | Villain | killercroc
gamora2 | s_m_y_doorman_01 | 0x22911304 | Doorman | Hero | gamora
starlord | s_m_y_pilot_01 | 0xAB300C07 | Pilot | Hero | starlord
DRAX | g_m_y_salvagoon_02 | 0x3273A285 | Salvadoran Goon 2 | Hero | drax
Cheetah(DCUnchained) | a_m_y_stbla_02 | 0x98C7404F | Black Street Male 2 | Villain | cheetah
talia | a_f_y_business_02 | 0x31430342 | Business Young Female 2 | Villain | talia
killmonger | a_m_y_bevhills_02 | 0x668BA707 | Beverly Hills Young Male 2 | Villain | killmonger
AC_Azrael | g_m_y_famca_01 | 0xE83B93B7 | Families CA Male | Hero | azrael
Venom(EddieBrock) | a_m_y_epsilon_01 | 0x77D41A3E | Epsilon Male | Villain | venom
Spiderman Kid v2 | s_m_y_dwservice_02 | 0xF5908A06 | DW Airport Worker 2 | Hero | spiderman
Quicksilver | a_m_y_epsilon_02 | 0xAA82FF9B | Epsilon Male 2 | Hero | quicksilver
WinterSoldier(CivilWar) | g_m_y_pologoon_01 | 0x4F3FBA06 | Polynesian Goon | Neutral | wintersoldier
